 ,Area,Mean,Min,Max
459,168,255,255,255
460,22,255,255,255
461,152,255,255,255
462,176,255,255,255
463,84,255,255,255
464,133,255,255,255
465,142,255,255,255
466,156,255,255,255
467,137,255,255,255
468,135,255,255,255
469,120,255,255,255
470,151,255,255,255
471,122,255,255,255
472,132,255,255,255
473,126,255,255,255
474,153,255,255,255
475,129,255,255,255
476,132,255,255,255
477,155,255,255,255
478,125,255,255,255
479,135,255,255,255
480,156,255,255,255
481,197,255,255,255
482,132,255,255,255
483,139,255,255,255
484,85,255,255,255
485,121,255,255,255
486,130,255,255,255
487,171,255,255,255
488,182,255,255,255
489,123,255,255,255
490,196,255,255,255
491,205,255,255,255
492,170,255,255,255
493,166,255,255,255
494,201,255,255,255
495,166,255,255,255
496,169,255,255,255
497,204,255,255,255
498,123,255,255,255
499,120,255,255,255
500,106,255,255,255
501,166,255,255,255
502,208,255,255,255
503,99,255,255,255
504,111,255,255,255
505,106,255,255,255
506,123,255,255,255
507,174,255,255,255
508,91,255,255,255
509,114,255,255,255
510,206,255,255,255
511,138,255,255,255
512,102,255,255,255
513,111,255,255,255
514,78,255,255,255
515,193,255,255,255
516,81,255,255,255
517,241,255,255,255
518,91,255,255,255
519,183,255,255,255
520,145,255,255,255
521,238,255,255,255
522,140,255,255,255
523,160,255,255,255
524,132,255,255,255
525,150,255,255,255
526,226,255,255,255
527,80,255,255,255
528,103,255,255,255
529,112,255,255,255
530,169,255,255,255
531,91,255,255,255
532,141,255,255,255
533,197,255,255,255
534,110,255,255,255
535,138,255,255,255
536,160,255,255,255
537,110,255,255,255
538,134,255,255,255
539,80,255,255,255
540,170,255,255,255
541,99,255,255,255
542,127,255,255,255
543,177,255,255,255
544,126,255,255,255
545,111,255,255,255
546,217,255,255,255
547,182,255,255,255
548,155,255,255,255
549,162,255,255,255
550,132,255,255,255
551,112,255,255,255
552,119,255,255,255
553,102,255,255,255
554,134,255,255,255
555,80,255,255,255
556,81,255,255,255
557,112,255,255,255
558,170,255,255,255
559,239,255,255,255
560,184,255,255,255
561,156,255,255,255
562,103,255,255,255
563,187,255,255,255
564,102,255,255,255
565,148,255,255,255
566,191,255,255,255
567,126,255,255,255
568,169,255,255,255
569,110,255,255,255
570,179,255,255,255
571,194,255,255,255
572,130,255,255,255
573,138,255,255,255
574,105,255,255,255
575,80,255,255,255
576,147,255,255,255
577,102,255,255,255
578,110,255,255,255
579,225,255,255,255
580,137,255,255,255
581,139,255,255,255
582,101,255,255,255
583,191,255,255,255
584,172,255,255,255
585,108,255,255,255
586,210,255,255,255
587,112,255,255,255
588,134,255,255,255
589,186,255,255,255
590,126,255,255,255
591,130,255,255,255
592,157,255,255,255
593,135,255,255,255
594,166,255,255,255
595,179,255,255,255
596,169,255,255,255
597,148,255,255,255
598,129,255,255,255
599,78,255,255,255
600,123,255,255,255
601,202,255,255,255
602,180,255,255,255
603,230,255,255,255
604,110,255,255,255
605,143,255,255,255
606,140,255,255,255
607,193,255,255,255
608,78,255,255,255
609,206,255,255,255
610,88,255,255,255
611,80,255,255,255
612,159,255,255,255
613,184,255,255,255
614,135,255,255,255
615,68,255,255,255
616,142,255,255,255
617,85,255,255,255
618,124,255,255,255
619,102,255,255,255
620,172,255,255,255
621,150,255,255,255
622,171,255,255,255
623,140,255,255,255
624,162,255,255,255
625,208,255,255,255
626,137,255,255,255
627,173,255,255,255
628,139,255,255,255
629,227,255,255,255
630,157,255,255,255
631,92,255,255,255
632,136,255,255,255
633,143,255,255,255
634,141,255,255,255
635,140,255,255,255
636,141,255,255,255
637,188,255,255,255
638,207,255,255,255
639,101,255,255,255
640,204,255,255,255
641,199,255,255,255
642,88,255,255,255
643,183,255,255,255
644,108,255,255,255
645,141,255,255,255
646,178,255,255,255
647,203,255,255,255
648,195,255,255,255
649,129,255,255,255
650,179,255,255,255
651,172,255,255,255
652,144,255,255,255
653,73,255,255,255
654,107,255,255,255
655,124,255,255,255
656,203,255,255,255
657,194,255,255,255
658,119,255,255,255
659,86,255,255,255
660,178,255,255,255
661,183,255,255,255
662,133,255,255,255
663,80,255,255,255
664,161,255,255,255
665,86,255,255,255
666,132,255,255,255
667,120,255,255,255
668,122,255,255,255
669,103,255,255,255
670,144,255,255,255
671,220,255,255,255
672,107,255,255,255
673,164,255,255,255
674,197,255,255,255
675,205,255,255,255
676,134,255,255,255
677,133,255,255,255
678,171,255,255,255
679,138,255,255,255
680,103,255,255,255
681,143,255,255,255
682,75,255,255,255
683,99,255,255,255
684,155,255,255,255
685,182,255,255,255
686,136,255,255,255
687,210,255,255,255
688,168,255,255,255
689,74,255,255,255
690,101,255,255,255
691,223,255,255,255
692,118,255,255,255
693,102,255,255,255
694,165,255,255,255
695,167,255,255,255
696,161,255,255,255
697,150,255,255,255
698,111,255,255,255
699,119,255,255,255
700,163,255,255,255
701,135,255,255,255
702,111,255,255,255
703,133,255,255,255
704,95,255,255,255
705,153,255,255,255
706,129,255,255,255
707,159,255,255,255
708,156,255,255,255
709,158,255,255,255
710,108,255,255,255
711,146,255,255,255
712,73,255,255,255
713,95,255,255,255
714,105,255,255,255
715,99,255,255,255
716,144,255,255,255
717,94,255,255,255
718,94,255,255,255
719,119,255,255,255
720,87,255,255,255
721,97,255,255,255
722,105,255,255,255
723,170,255,255,255
724,78,255,255,255
725,124,255,255,255
726,117,255,255,255
727,98,255,255,255
728,123,255,255,255
729,106,255,255,255
730,91,255,255,255
731,80,255,255,255
732,103,255,255,255
733,121,255,255,255
734,122,255,255,255
735,123,255,255,255
736,113,255,255,255
737,175,255,255,255
738,114,255,255,255
739,83,255,255,255
740,88,255,255,255
741,165,255,255,255
742,108,255,255,255
743,77,255,255,255
744,98,255,255,255
745,114,255,255,255
746,128,255,255,255
747,119,255,255,255
748,123,255,255,255
749,88,255,255,255
750,90,255,255,255
751,135,255,255,255
752,72,255,255,255
753,86,255,255,255
754,89,255,255,255
755,140,255,255,255
756,111,255,255,255
757,113,255,255,255
758,150,255,255,255
759,75,255,255,255
760,135,255,255,255
761,164,255,255,255
762,79,255,255,255
763,162,255,255,255
764,130,255,255,255
765,140,255,255,255
766,114,255,255,255
767,112,255,255,255
768,99,255,255,255
769,102,255,255,255
770,76,255,255,255
771,90,255,255,255
772,100,255,255,255
773,172,255,255,255
774,90,255,255,255
775,87,255,255,255
776,73,255,255,255
777,170,255,255,255
778,76,255,255,255
779,90,255,255,255
780,132,255,255,255
781,85,255,255,255
782,94,255,255,255
783,157,255,255,255
784,141,255,255,255
785,101,255,255,255
786,137,255,255,255
787,89,255,255,255
788,133,255,255,255
789,162,255,255,255
790,72,255,255,255
791,120,255,255,255
792,92,255,255,255
793,57,255,255,255
