Plate,Treatment,Age_Bolted,Light_Lev
104,NVP64cu,23,108
16,NVP64wt,21,108
16,NVP64wt,22,108
16,NVP64wt,23,108
93,NVP80cu,22,108
93,NVP80cu,23,108
93,NVP80cu,23,108
102,NVP80wt,21,108
102,NVP80wt,22,108
102,NVP80wt,23,108
110,Ctrl,22,108
110,Ctrl,22,108
110,Ctrl,NA,108
14,NVP64cu,23,113
14,NVP64cu,23,113
14,NVP64cu,23,113
86,NVP64wt,22,113
86,NVP64wt,23,113
86,NVP64wt,24,113
38,NVP80cu,22,113
38,NVP80cu,22,113
38,NVP80cu,23,113
42,NVP80wt,23,113
42,NVP80wt,23,113
42,NVP80wt,24,113
65,Ctrl,23,113
65,Ctrl,23,113
65,Ctrl,24,113
4,NVP64cu,22,118
4,NVP64cu,22,118
4,NVP64cu,22,118
6,NVP64wt,22,118
6,NVP64wt,22,118
6,NVP64wt,23,118
23,NVP80cu,21,118
23,NVP80cu,24,118
23,NVP80cu,24,118
32,NVP80wt,21,118
32,NVP80wt,22,118
32,NVP80wt,22,118
70,Ctrl,21,118
70,Ctrl,23,118
70,Ctrl,25,118
24,NVP64cu,23,112
24,NVP64cu,23,112
24,NVP64cu,23,112
81,NVP64wt,23,112
81,NVP64wt,23,112
81,NVP64wt,23,112
18,NVP80cu,22,112
18,NVP80cu,23,112
18,NVP80cu,23,112
12,NVP80wt,21,112
12,NVP80wt,22,112
12,NVP80wt,22,112
80,Ctrl,21,112
80,Ctrl,22,112
80,Ctrl,23,112
34,NVP64cu,21,112
34,NVP64cu,21,112
34,NVP64cu,22,112
76,NVP64wt,21,112
76,NVP64wt,21,112
76,NVP64wt,23,112
108,NVP80cu,21,112
108,NVP80cu,22,112
108,NVP80cu,23,112
22,NVP80wt,21,112
22,NVP80wt,22,112
22,NVP80wt,23,112
40,Ctrl,21,112
40,Ctrl,22,112
40,Ctrl,22,112
114,NVP64cu,22,116
114,NVP64cu,22,116
114,NVP64cu,22,116
11,NVP64wt,21,116
11,NVP64wt,22,116
11,NVP64wt,23,116
48,NVP80cu,21,116
48,NVP80cu,22,116
48,NVP80cu,22,116
122,NVP80wt,22,116
122,NVP80wt,24,116
122,NVP80wt,NA,116
95,Ctrl,22,116
95,Ctrl,22,116
95,Ctrl,23,116
79,NVP64cu,21,111
79,NVP64cu,21,111
79,NVP64cu,23,111
106,NVP64wt,23,111
106,NVP64wt,23,111
106,NVP64wt,23,111
43,NVP80cu,22,111
43,NVP80cu,22,111
43,NVP80cu,22,111
7,NVP80wt,21,111
7,NVP80wt,22,111
7,NVP80wt,22,111
135,Ctrl,21,111
135,Ctrl,22,111
135,Ctrl,23,111
119,NVP64cu,21,111
119,NVP64cu,23,111
119,NVP64cu,25,111
131,NVP64wt,22,111
131,NVP64wt,22,111
131,NVP64wt,23,111
28,NVP80cu,22,111
28,NVP80cu,23,111
28,NVP80cu,23,111
77,NVP80wt,22,111
77,NVP80wt,22,111
77,NVP80wt,22,111
105,Ctrl,21,111
105,Ctrl,22,111
105,Ctrl,23,111
89,NVP64cu,22,116
89,NVP64cu,23,116
89,NVP64cu,24,116
116,NVP64wt,22,116
116,NVP64wt,22,116
116,NVP64wt,23,116
113,NVP80cu,21,116
